iter	Passed	Remaining
0	0	98
1	1	86
2	2	78
3	2	70
4	3	69
5	4	67
6	5	66
7	5	65
8	6	64
9	7	63
10	7	63
11	8	64
12	9	63
13	10	62
14	10	61
15	11	60
16	12	59
17	12	58
18	13	57
19	14	57
20	15	57
21	16	56
22	16	55
23	17	55
24	18	54
25	18	53
26	19	52
27	20	51
28	20	51
29	21	50
30	22	50
31	23	50
32	24	49
33	25	49
34	26	48
35	26	47
36	27	46
37	28	46
38	28	45
39	30	45
40	30	44
41	31	42
42	31	41
43	32	41
44	33	40
45	33	39
46	34	38
47	35	37
48	35	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	34
54	40	33
55	41	32
56	42	31
57	42	31
58	44	30
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	60	15
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	64	10
86	64	9
87	65	8
88	66	8
89	67	7
90	67	6
91	68	5
92	69	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	74	0
